date,high,low,close
"Sep 16, 2016",609.26,606.73,606.97
"Sep 15, 2016",611.09,607.16,607.16
"Sep 14, 2016",611.95,608.41,610.68
"Sep 13, 2016",611.19,606.92,609.24
"Sep 12, 2016",608.46,605.41,608.24
"Sep 11, 2016",628.82,600.51,606.72
"Sep 10, 2016",625.09,622.40,623.51
"Sep 09, 2016",626.83,620.26,622.86
"Sep 08, 2016",628.77,613.84,626.32
"Sep 07, 2016",614.54,608.51,614.54
"Sep 06, 2016",610.83,605.09,610.44
"Sep 05, 2016",609.05,602.24,606.59
"Sep 04, 2016",611.84,596.85,608.63
"Sep 03, 2016",599.50,574.06,598.21
"Sep 02, 2016",575.64,570.81,575.54
"Sep 01, 2016",576.31,571.81,572.30
"Aug 31, 2016",577.86,573.64,575.47
"Aug 30, 2016",578.36,574.11,577.50
"Aug 29, 2016",576.28,573.47,574.11
"Aug 28, 2016",574.04,569.74,573.91
"Aug 27, 2016",579.84,568.63,569.95
"Aug 26, 2016",580.62,576.86,579.65
"Aug 25, 2016",580.45,575.17,577.76
"Aug 24, 2016",583.59,579.85,580.18
"Aug 23, 2016",589.47,581.63,583.41
"Aug 22, 2016",588.45,580.59,586.75
"Aug 21, 2016",584.16,580.22,581.31
"Aug 20, 2016",582.82,575.46,581.70
"Aug 19, 2016",578.24,574.18,575.63
"Aug 18, 2016",577.79,573.43,574.32
"Aug 17, 2016",580.89,571.43,573.22
"Aug 16, 2016",581.74,566.72,577.44
"Aug 15, 2016",573.58,563.24,567.24
"Aug 14, 2016",585.67,564.78,570.47
"Aug 13, 2016",589.77,584.98,585.59
"Aug 12, 2016",589.91,583.81,587.56
"Aug 11, 2016",597.54,589.12,589.12
"Aug 10, 2016",599.98,586.37,592.10
"Aug 09, 2016",591.09,584.79,587.80
"Aug 08, 2016",592.99,588.05,591.05
"Aug 07, 2016",597.51,586.82,592.69
"Aug 06, 2016",588.40,569.47,587.78
"Aug 05, 2016",578.28,569.98,575.04
"Aug 04, 2016",579.50,565.78,578.29
"Aug 03, 2016",573.36,541.55,566.35
"Aug 02, 2016",612.85,531.33,547.47
"Aug 01, 2016",626.12,605.88,606.27
"Jul 31, 2016",655.28,624.36,624.68
"Jul 30, 2016",658.22,654.21,655.05
"Jul 29, 2016",657.80,654.79,656.99
"Jul 28, 2016",657.59,654.49,655.03
"Jul 27, 2016",657.46,648.45,654.35
"Jul 26, 2016",656.22,645.88,651.78
"Jul 25, 2016",661.83,653.40,654.10
"Jul 24, 2016",663.11,652.79,661.28
"Jul 23, 2016",656.37,648.52,655.56
"Jul 22, 2016",666.58,646.72,650.62
"Jul 21, 2016",666.22,660.41,665.01
"Jul 20, 2016",672.93,663.36,665.68
"Jul 19, 2016",673.28,667.63,672.86
"Jul 18, 2016",681.55,668.63,673.11
"Jul 17, 2016",682.36,661.99,679.46
"Jul 16, 2016",666.46,659.33,660.77
"Jul 15, 2016",667.08,659.04,663.26
"Jul 14, 2016",662.90,652.92,658.08
"Jul 13, 2016",668.70,654.47,654.47
"Jul 12, 2016",675.26,646.78,664.55
"Jul 11, 2016",659.63,644.98,647.66
"Jul 10, 2016",652.29,641.26,649.36
"Jul 09, 2016",666.38,633.40,650.96
"Jul 08, 2016",666.71,636.47,666.52
"Jul 07, 2016",682.43,611.83,640.56
"Jul 06, 2016",681.90,670.42,677.33
"Jul 05, 2016",683.49,665.07,670.63
"Jul 04, 2016",683.66,650.51,683.66
"Jul 03, 2016",704.97,649.01,658.66
"Jul 02, 2016",703.70,676.40,703.70
"Jul 01, 2016",686.15,669.59,676.30
"Jun 30, 2016",675.40,636.61,673.34
"Jun 29, 2016",644.68,628.28,639.89
"Jun 28, 2016",659.25,637.77,647.00
"Jun 27, 2016",655.28,620.52,655.28
"Jun 26, 2016",665.98,616.93,629.37
"Jun 25, 2016",691.73,646.56,665.12
"Jun 24, 2016",681.73,625.27,665.30
"Jun 23, 2016",629.33,558.14,623.98
"Jun 22, 2016",678.67,587.48,596.12
"Jun 21, 2016",735.88,639.07,666.65
"Jun 20, 2016",764.08,732.73,737.23
"Jun 19, 2016",766.62,745.63,763.78
"Jun 18, 2016",777.99,733.93,756.23
"Jun 17, 2016",775.36,716.56,748.91
"Jun 16, 2016",773.72,696.52,766.31
"Jun 15, 2016",696.30,672.56,694.47
"Jun 14, 2016",704.50,662.80,685.56
"Jun 13, 2016",716.00,664.49,704.38
"Jun 12, 2016",684.84,607.04,672.78
"Jun 11, 2016",607.12,578.67,606.73
"Jun 10, 2016",579.13,573.33,577.47
"Jun 09, 2016",582.20,570.95,574.63
"Jun 08, 2016",582.84,573.13,581.65
"Jun 07, 2016",590.26,567.51,576.60
"Jun 06, 2016",586.47,574.60,585.54
"Jun 05, 2016",582.81,569.18,574.98
"Jun 04, 2016",590.13,564.24,572.73
"Jun 03, 2016",574.64,536.92,569.19
"Jun 02, 2016",540.35,533.08,537.97
"Jun 01, 2016",543.08,525.64,536.92
"May 31, 2016",546.62,520.66,531.39
"May 30, 2016",544.35,522.96,533.86
"May 29, 2016",553.96,512.18,526.23
"May 28, 2016",533.47,472.70,530.04
"May 27, 2016",478.15,453.52,473.46
"May 26, 2016",453.64,447.90,453.38
"May 25, 2016",450.30,446.06,449.60
"May 24, 2016",447.10,443.93,445.98
"May 23, 2016",444.35,438.82,444.15
"May 22, 2016",443.43,439.04,439.32
"May 21, 2016",443.78,441.71,443.19
"May 20, 2016",444.05,437.39,442.68
"May 19, 2016",454.63,438.71,438.71
"May 18, 2016",456.00,453.30,454.62
"May 17, 2016",455.07,453.61,453.78
"May 16, 2016",458.20,452.95,454.16
"May 15, 2016",458.69,455.46,457.57
"May 14, 2016",456.84,454.79,455.67
"May 13, 2016",457.05,453.45,455.67
"May 12, 2016",454.95,449.25,454.77
"May 11, 2016",454.58,450.86,452.73
"May 10, 2016",461.93,448.95,450.89
"May 09, 2016",462.48,456.53,460.48
"May 08, 2016",459.42,455.98,458.55
"May 07, 2016",460.67,457.32,458.54
"May 06, 2016",461.38,447.07,459.60
"May 05, 2016",448.51,445.88,447.98
"May 04, 2016",450.38,445.63,446.72
"May 03, 2016",451.10,442.62,450.30
"May 02, 2016",452.45,441.78,444.67
"May 01, 2016",452.48,447.93,451.88
"Apr 30, 2016",455.59,447.70,448.32
"Apr 29, 2016",455.38,446.02,455.10
"Apr 28, 2016",449.55,436.65,449.01
"Apr 27, 2016",467.08,444.13,444.69
"Apr 26, 2016",467.96,461.62,466.09
"Apr 25, 2016",466.62,453.59,461.43
"Apr 24, 2016",460.15,448.93,458.55
"Apr 23, 2016",450.28,444.33,450.28
"Apr 22, 2016",449.81,444.15,445.74
"Apr 21, 2016",450.55,440.95,449.42
"Apr 20, 2016",443.05,434.41,441.39
"Apr 19, 2016",436.02,428.10,435.51
"Apr 18, 2016",429.27,427.09,428.59
"Apr 17, 2016",431.37,426.08,427.40
"Apr 16, 2016",432.63,428.98,430.57
